movie_id,genre_id
tt0105112,gd0000001
tt0105112,gd0000002
tt1204975,gd0000003
tt0243655,gd0000003
tt0243655,gd0000004
tt0040897,gd0000005
tt0040897,gd0000006
tt0040897,gd0000007
tt0126886,gd0000003
tt0126886,gd0000006
tt0126886,gd0000004
tt0286716,gd0000001
tt0286716,gd0000008
tt0090605,gd0000001
tt0090605,gd0000005
tt0090605,gd0000008
tt0243155,gd0000003
tt0243155,gd0000006
tt0243155,gd0000004
tt0121765,gd0000001
tt0121765,gd0000005
tt0121765,gd0000009
tt0443453,gd0000003
tt0107131,gd0000005
tt0107131,gd0000003
tt0107131,gd0000006
tt0110364,gd0000003
tt0110364,gd0000010
tt0110364,gd0000011
tt0450259,gd0000005
tt0450259,gd0000006
tt0450259,gd0000002
tt0143145,gd0000001
tt0143145,gd0000005
tt0143145,gd0000002
tt0435625,gd0000005
tt0435625,gd0000012
tt0435625,gd0000002
tt0343818,gd0000001
tt0343818,gd0000013
tt0343818,gd0000006
tt0120815,gd0000006
tt0120815,gd0000014
tt0253754,gd0000001
tt0253754,gd0000005
tt0253754,gd0000008
tt1951264,gd0000001
tt1951264,gd0000005
tt1951264,gd0000015
tt0118849,gd0000006
tt0118849,gd0000010
tt0120783,gd0000005
tt0120783,gd0000003
tt0120783,gd0000006
tt0114814,gd0000013
tt0114814,gd0000006
tt0114814,gd0000015
tt0101700,gd0000003
tt0101700,gd0000013
tt0377092,gd0000003
tt0102768,gd0000006
tt0102768,gd0000004
tt1259521,gd0000012
tt2084970,gd0000016
tt2084970,gd0000006
tt2084970,gd0000017
tt0108399,gd0000013
tt0108399,gd0000006
tt0108399,gd0000004
tt0017136,gd0000006
tt0017136,gd0000008
tt2356777,gd0000013
tt2356777,gd0000006
tt2356777,gd0000015
tt0215750,gd0000006
tt0215750,gd0000017
tt0215750,gd0000014
tt0082096,gd0000005
tt0082096,gd0000006
tt0082096,gd0000002
tt0408985,gd0000003
tt0107822,gd0000006
tt0107822,gd0000018
